Capacity(mAh),Config (s),Discharge (c),Height-B(mm),Length-A(mm),Max Charge Rate (C),Weight (g),Width-C(mm),description
400.0,1.0,30.0,26.0,63.0,2.0,13.0,4.0,ZIPPY 400mAh 30C Single Cell
100.0,1.0,20.0,20.0,32.0,2.0,5.0,3.0,ZIPPY 100mAh 20C Single Cell
138.0,1.0,20.0,26.0,37.0,2.0,7.0,3.0,ZIPPY 138mAh 20C Single Cell 
160.0,1.0,25.0,12.0,39.0,10.0,5.0,8.0,"Turnigy nano-tech 160mah 1S 25~40C Lipo Pack (Kyosho, E-flite Nano CP X, Parkzone Etc)"
370.0,2.0,25.0,32.0,63.0,5.0,27.0,9.0,Turnigy nano-tech 370mah 2S 25~40C Lipo Pack
370.0,3.0,25.0,31.0,60.0,5.0,39.0,13.0,Turnigy nano-tech 370mah 3S 25~40C Lipo Pack
460.0,2.0,25.0,29.0,65.0,5.0,33.0,11.0,Turnigy nano-tech 460mah 2S 25~40C Lipo Pack
460.0,3.0,25.0,30.0,67.0,5.0,45.0,15.0,Turnigy nano-tech 460mah 3S 25~40C Lipo Pack
850.0,2.0,25.0,31.0,60.0,5.0,49.0,16.0,Turnigy nano-tech 850mah 2S 25~40C Lipo Pack
850.0,3.0,25.0,32.0,63.0,5.0,69.0,25.0,Turnigy nano-tech 850mah 3S 25~40C Lipo Pack
1000.0,2.0,25.0,35.0,71.0,5.0,60.0,12.0,Turnigy nano-tech 1000mah 2S 25~50C Lipo Pack
1000.0,3.0,25.0,35.0,77.0,5.0,79.0,17.0,Turnigy nano-tech 1000mah 3S 25~50C Lipo Pack
1300.0,2.0,25.0,34.0,85.0,5.0,86.0,16.0,Turnigy nano-tech 1300mah 2S 25~50C Lipo Pack
1300.0,3.0,25.0,34.0,70.0,5.0,119.0,22.0,Turnigy nano-tech 1300mah 3S 25~50C Lipo Pack
1600.0,2.0,25.0,32.0,118.0,5.0,103.0,15.0,Turnigy nano-tech 1600mah 2S 25~50C Lipo Pack
1600.0,3.0,25.0,34.0,120.0,5.0,143.0,18.0,Turnigy nano-tech 1600mah 3S 25~50C Lipo Pack
1800.0,2.0,25.0,35.0,115.0,5.0,113.0,15.0,Turnigy nano-tech 1800mah 2S 25~50C Lipo Pack
1800.0,3.0,25.0,35.0,115.0,5.0,161.0,21.0,Turnigy nano-tech 1800mah 3S 25~50C Lipo Pack
1800.0,4.0,25.0,36.0,117.0,5.0,207.0,28.0,Turnigy nano-tech 1800mah 4S 25~50C Lipo Pack
2200.0,2.0,25.0,35.0,112.0,5.0,133.0,18.0,Turnigy nano-tech 2200mah 2S 25~50C Lipo Pack
2200.0,3.0,25.0,35.0,106.0,5.0,187.0,24.0,Turnigy nano-tech 2200mah 3S 25~50C Lipo Pack
2200.0,4.0,25.0,35.0,119.0,5.0,239.0,32.0,Turnigy nano-tech 2200mah 4S 25~50C Lipo Pack
2200.0,6.0,25.0,35.0,119.0,5.0,353.0,46.0,Turnigy nano-tech 2200mah 6S 25~50C Lipo Pack
2650.0,2.0,25.0,44.0,147.0,5.0,151.0,11.0,Turnigy nano-tech 2650mah 2S 25~50C Lipo Pack
2650.0,3.0,25.0,44.0,148.0,5.0,215.0,18.0,Turnigy nano-tech 2650mah 3S 25~50C Lipo Pack
2650.0,4.0,25.0,44.0,145.0,5.0,275.0,22.0,Turnigy nano-tech 2650mah 4S 25~50C Lipo Pack
2650.0,6.0,25.0,44.0,149.0,5.0,399.0,31.0,Turnigy nano-tech 2650mah 6S 25~50C Lipo Pack
3000.0,2.0,25.0,57.0,147.0,5.0,165.0,16.0,Turnigy nano-tech 3000mah 2S 25~50C Lipo Pack
3000.0,3.0,25.0,43.0,150.0,5.0,231.0,17.0,Turnigy nano-tech 3000mah 3S 25~50C Lipo Pack
3000.0,4.0,25.0,45.0,150.0,5.0,299.0,24.0,Turnigy nano-tech 3000mah 4S 25~50C Lipo Pack
3000.0,6.0,25.0,46.0,153.0,5.0,447.0,35.0,Turnigy nano-tech 3000mah 6S 25~50C Lipo Pack
3300.0,2.0,25.0,44.0,145.0,5.0,183.0,14.0,Turnigy nano-tech 3300mah 2S 25~50C Lipo Pack
3300.0,3.0,25.0,43.0,146.0,5.0,263.0,20.0,Turnigy nano-tech 3300mah 3S 25~50C Lipo Pack
3300.0,4.0,25.0,44.0,147.0,5.0,337.0,26.0,Turnigy nano-tech 3300mah 4S 25~50C Lipo Pack
3300.0,6.0,25.0,53.0,145.0,5.0,489.0,37.0,Turnigy nano-tech 3300mah 6S 25~50C Lipo Pack
4000.0,2.0,25.0,49.0,172.0,5.0,233.0,14.0,Turnigy nano-tech 4000mah 2S 25~50C Lipo Pack
4000.0,3.0,25.0,49.0,173.0,5.0,333.0,20.0,Turnigy nano-tech 4000mah 3S 25~50C Lipo Pack
4000.0,4.0,25.0,48.0,173.0,5.0,433.0,26.0,Turnigy nano-tech 4000mah 4S 25~50C Lipo Pack
4000.0,6.0,25.0,49.0,163.0,5.0,623.0,39.0,Turnigy nano-tech 4000mah 6S 25~50C Lipo Pack
